"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","22,425,612","±11,166","22,425,612","(X)","1,211,043","±6,015","1,211,043","(X)"
"        In labor force","14,574,146","±39,860","65.0%","±0.2","792,304","±11,398","65.4%","±1.0"
"            Civilian labor force","14,465,653","±39,493","64.5%","±0.2","783,212","±11,594","64.7%","±1.0"
"                Employed","13,830,576","±41,164","61.7%","±0.2","745,940","±11,750","61.6%","±1.0"
"                Unemployed","635,077","±15,643","2.8%","±0.1","37,272","±3,992","3.1%","±0.3"
"            Armed Forces","108,493","±5,725","0.5%","±0.1","9,092","±2,034","0.8%","±0.2"
"        Not in labor force","7,851,466","±41,366","35.0%","±0.2","418,739","±12,172","34.6%","±1.0"
"    Civilian labor force","14,465,653","±39,493","14,465,653","(X)","783,212","±11,594","783,212","(X)"
"        Unemployment Rate","(X)","(X)","4.4%","±0.1","(X)","(X)","4.8%","±0.5"
"    Females 16 years and over","11,383,962","±10,604","11,383,962","(X)","618,901","±5,026","618,901","(X)"
"        In labor force","6,643,391","±30,300","58.4%","±0.3","369,741","±8,689","59.7%","±1.3"
"            Civilian labor force","6,629,210","±30,212","58.2%","±0.3","367,613","±8,847","59.4%","±1.3"
"                Employed","6,328,185","±32,373","55.6%","±0.3","349,633","±8,640","56.5%","±1.3"
"    Own children of the householder under 6 years","2,281,869","±15,739","2,281,869","(X)","118,928","±4,718","118,928","(X)"
"        All parents in family in labor force","1,430,535","±21,218","62.7%","±0.8","76,322","±5,732","64.2%","±4.1"
"    Own children of the householder 6 to 17 years","4,734,548","±19,230","4,734,548","(X)","236,473","±6,859","236,473","(X)"
"        All parents in family in labor force","3,251,408","±32,311","68.7%","±0.6","162,864","±8,514","68.9%","±3.0"
"COMMUTING TO WORK","","","","","","","",""
"    Workers 16 years and over","13,715,977","±43,295","13,715,977","(X)","740,686","±11,757","740,686","(X)"
"        Car, truck, or van -- drove alone","10,992,403","±52,833","80.1%","±0.2","573,209","±13,115","77.4%","±1.3"
"        Car, truck, or van -- carpooled","1,330,991","±22,740","9.7%","±0.2","89,068","±7,271","12.0%","±0.9"
"        Public transportation (excluding taxicab)","182,144","±9,017","1.3%","±0.1","22,111","±3,359","3.0%","±0.5"
"        Walked","211,383","±10,575","1.5%","±0.1","13,454","±2,419","1.8%","±0.3"
"        Other means","215,544","±10,404","1.6%","±0.1","14,484","±3,459","2.0%","±0.5"
"        Worked from home","783,512","±18,934","5.7%","±0.1","28,360","±3,604","3.8%","±0.5"
"        Mean travel time to work (minutes)","27.2","±0.1","(X)","(X)","25.5","±0.6","(X)","(X)"
"OCCUPATION","","","","","","","",""
"    Civilian employed population 16 years and over","13,830,576","±41,164","13,830,576","(X)","745,940","±11,750","745,940","(X)"
"        Management, business, science, and arts occupations","5,203,418","±42,053","37.6%","±0.3","245,767","±8,572","32.9%","±1.1"
"        Service occupations","2,391,815","±34,076","17.3%","±0.2","167,626","±9,030","22.5%","±1.1"
"        Sales and office occupations","2,923,265","±36,905","21.1%","±0.3","168,677","±8,889","22.6%","±1.1"
"        Natural resources, construction, and maintenance occupations","1,461,450","±25,043","10.6%","±0.2","78,880","±6,980","10.6%","±0.9"
"        Production, transportation, and material moving occupations","1,850,628","±24,592","13.4%","±0.2","84,990","±5,385","11.4%","±0.7"
"INDUSTRY","","","","","","","",""
"    Civilian employed population 16 years and over","13,830,576","±41,164","13,830,576","(X)","745,940","±11,750","745,940","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","405,332","±15,408","2.9%","±0.1","6,433","±1,853","0.9%","±0.2"
