"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","22,934,023","±14,146","22,934,023","(X)","1,135,774","±5,734","1,135,774","(X)"
"        In labor force","14,826,344","±41,692","64.6%","±0.2","745,111","±10,794","65.6%","±0.9"
"            Civilian labor force","14,707,042","±42,351","64.1%","±0.2","731,697","±10,805","64.4%","±0.9"
"                Employed","13,796,229","±43,210","60.2%","±0.2","679,129","±11,081","59.8%","±1.0"
"                Unemployed","910,813","±23,587","4.0%","±0.1","52,568","±4,458","4.6%","±0.4"
"            Armed Forces","119,302","±6,891","0.5%","±0.1","13,414","±2,392","1.2%","±0.2"
"        Not in labor force","8,107,679","±41,787","35.4%","±0.2","390,663","±11,219","34.4%","±0.9"
"    Civilian labor force","14,707,042","±42,351","14,707,042","(X)","731,697","±10,805","731,697","(X)"
"        Unemployment Rate","(X)","(X)","6.2%","±0.2","(X)","(X)","7.2%","±0.6"
"    Females 16 years and over","11,566,758","±10,219","11,566,758","(X)","580,409","±4,528","580,409","(X)"
"        In labor force","6,752,311","±34,893","58.4%","±0.3","351,752","±6,809","60.6%","±1.1"
"            Civilian labor force","6,731,734","±34,599","58.2%","±0.3","348,571","±6,781","60.1%","±1.1"
"                Employed","6,303,670","±33,773","54.5%","±0.3","322,471","±7,316","55.6%","±1.2"
"    Own children of the householder under 6 years","2,217,200","±16,858","2,217,200","(X)","111,722","±4,456","111,722","(X)"
"        All parents in family in labor force","1,384,042","±20,150","62.4%","±0.8","73,567","±5,008","65.8%","±3.9"
"    Own children of the householder 6 to 17 years","4,891,952","±22,589","4,891,952","(X)","226,186","±6,860","226,186","(X)"
"        All parents in family in labor force","3,292,852","±33,934","67.3%","±0.7","156,292","±8,601","69.1%","±3.0"
"COMMUTING TO WORK","","","","","","","",""
"    Workers 16 years and over","13,635,342","±45,038","13,635,342","(X)","677,574","±11,373","677,574","(X)"
"        Car, truck, or van -- drove alone","9,643,366","±51,631","70.7%","±0.3","459,212","±11,810","67.8%","±1.2"
"        Car, truck, or van -- carpooled","1,244,797","±32,054","9.1%","±0.2","83,381","±6,942","12.3%","±1.0"
"        Public transportation (excluding taxicab)","102,764","±8,046","0.8%","±0.1","11,519","±2,393","1.7%","±0.4"
"        Walked","180,039","±8,471","1.3%","±0.1","9,425","±1,861","1.4%","±0.3"
"        Other means","246,084","±13,676","1.8%","±0.1","11,721","±2,141","1.7%","±0.3"
"        Worked from home","2,218,292","±31,392","16.3%","±0.2","102,316","±6,182","15.1%","±0.9"
"        Mean travel time to work (minutes)","25.9","±0.1","(X)","(X)","23.1","±0.5","(X)","(X)"
"OCCUPATION","","","","","","","",""
"    Civilian employed population 16 years and over","13,796,229","±43,210","13,796,229","(X)","679,129","±11,081","679,129","(X)"
"        Management, business, science, and arts occupations","5,532,536","±43,579","40.1%","±0.3","243,410","±11,272","35.8%","±1.5"
"        Service occupations","2,236,307","±29,250","16.2%","±0.2","133,765","±7,292","19.7%","±1.0"
"        Sales and office occupations","2,841,657","±39,382","20.6%","±0.3","151,717","±8,053","22.3%","±1.1"
"        Natural resources, construction, and maintenance occupations","1,400,439","±26,626","10.2%","±0.2","76,258","±5,615","11.2%","±0.9"
"        Production, transportation, and material moving occupations","1,785,290","±34,025","12.9%","±0.2","73,979","±6,286","10.9%","±0.9"
"INDUSTRY","","","","","","","",""
"    Civilian employed population 16 years and over","13,796,229","±43,210","13,796,229","(X)","679,129","±11,081","679,129","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","304,046","±12,877","2.2%","±0.1","6,343","±2,426","0.9%","±0.4"
"        Construction","1,175,579","±22,522","8.5%","±0.2","63,902","±6,155","9.4%","±0.9"
"        Manufacturing","1,195,047","±24,767","8.7%","±0.2","38,948","±4,216","5.7%","±0.6"
"        Wholesale trade","341,050","±12,760","2.5%","±0.1","13,374","±2,475","2.0%","±0.4"
"        Retail trade","1,538,871","±27,852","11.2%","±0.2","68,879","±5,685","10.1%","±0.8"
"        Transportation and warehousing, and utilities","904,310","±21,006","6.6%","±0.2","38,286","±3,967","5.6%","±0.6"
"        Information","217,088","±10,208","1.6%","±0.1","8,574","±2,085","1.3%","±0.3"
"        Finance and insurance, and real estate and rental and leasing","978,598","±22,610","7.1%","±0.2","57,780","±5,475","8.5%","±0.8"
"        Professional, scientific, and management, and administrative and waste management services","1,730,616","±29,878","12.5%","±0.2","82,413","±6,863","12.1%","±1.0"
"        Educational services, and health care and social assistance","3,001,036","±33,225","21.8%","±0.2","161,727","±7,146","23.8%","±0.9"
"        Arts, entertainment, and recreation, and accommodation and food services","1,139,063","±29,412","8.3%","±0.2","77,603","±6,519","11.4%","±0.9"
"        Other services, except public administration","680,249","±17,019","4.9%","±0.1","34,310","±3,476","5.1%","±0.5"
"        Public administration","590,676","±20,559","4.3%","±0.2","26,990","±3,012","4.0%","±0.4"
"CLASS OF WORKER","","","","","","","",""
"    Civilian employed population 16 years and over","13,796,229","±43,210","13,796,229","(X)","679,129","±11,081","679,129","(X)"
"        Private wage and salary workers","10,828,323","±56,819","78.5%","±0.3","529,735","±12,813","78.0%","±1.2"
