"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","21,043,248","±10,946","21,043,248","(X)","1,138,854","±5,155","1,138,854","(X)"
"        In labor force","13,533,555","±33,388","64.3%","±0.2","721,439","±8,828","63.3%","±0.8"
"            Civilian labor force","13,437,133","±33,499","63.9%","±0.2","713,824","±8,910","62.7%","±0.8"
"                Employed","12,693,901","±33,476","60.3%","±0.2","670,584","±8,954","58.9%","±0.8"
"                Unemployed","743,232","±18,947","3.5%","±0.1","43,240","±4,267","3.8%","±0.4"
"            Armed Forces","96,422","±4,274","0.5%","±0.1","7,615","±1,746","0.7%","±0.2"
"        Not in labor force","7,509,693","±33,791","35.7%","±0.2","417,415","±9,194","36.7%","±0.8"
"    Civilian labor force","13,437,133","±33,499","13,437,133","(X)","713,824","±8,910","713,824","(X)"
"        Unemployment Rate","(X)","(X)","5.5%","±0.1","(X)","(X)","6.1%","±0.6"
"    Females 16 years and over","10,691,257","±8,230","10,691,257","(X)","583,933","±4,340","583,933","(X)"
"        In labor force","6,149,899","±25,103","57.5%","±0.2","341,516","±5,727","58.5%","±0.9"
"            Civilian labor force","6,135,606","±25,165","57.4%","±0.2","340,246","±5,690","58.3%","±0.9"
"                Employed","5,787,808","±25,518","54.1%","±0.2","319,398","±6,081","54.7%","±1.0"
"    Own children of the householder under 6 years","2,277,276","±11,443","2,277,276","(X)","118,776","±4,262","118,776","(X)"
"        All parents in family in labor force","1,347,671","±18,554","59.2%","±0.8","73,337","±4,558","61.7%","±3.3"
"    Own children of the householder 6 to 17 years","4,592,491","±14,998","4,592,491","(X)","233,472","±5,419","233,472","(X)"
"        All parents in family in labor force","3,049,837","±29,640","66.4%","±0.6","156,291","±6,944","66.9%","±2.4"
"COMMUTING TO WORK","","","","","","","",""
"    Workers 16 years and over","12,556,719","±35,437","12,556,719","(X)","667,835","±8,848","667,835","(X)"
"        Car, truck, or van -- drove alone","10,145,748","±41,732","80.8%","±0.3","534,631","±10,228","80.1%","±0.9"
"        Car, truck, or van -- carpooled","1,276,953","±24,814","10.2%","±0.2","67,538","±5,037","10.1%","±0.8"
"        Public transportation (excluding taxicab)","189,234","±7,256","1.5%","±0.1","21,358","±3,026","3.2%","±0.5"
"        Walked","195,341","±9,305","1.6%","±0.1","10,318","±1,845","1.5%","±0.3"
"        Other means","200,494","±7,785","1.6%","±0.1","7,488","±1,569","1.1%","±0.2"
"        Worked at home","548,949","±12,907","4.4%","±0.1","26,502","±3,276","4.0%","±0.5"
"    Mean travel time to work (minutes)","26.3","±0.1","(X)","(X)","24.7","±0.5","(X)","(X)"
"OCCUPATION","","","","","","","",""
"    Civilian employed population 16 years and over","12,693,901","±33,476","12,693,901","(X)","670,584","±8,954","670,584","(X)"
"        Management, business, science, and arts occupations","4,483,037","±29,982","35.3%","±0.3","214,163","±8,026","31.9%","±1.2"
"        Service occupations","2,207,517","±27,719","17.4%","±0.2","140,664","±7,198","21.0%","±1.0"
"        Sales and office occupations","3,073,810","±33,800","24.2%","±0.2","174,343","±6,751","26.0%","±0.9"
"        Natural resources, construction, and maintenance occupations","1,386,424","±20,717","10.9%","±0.2","71,124","±4,766","10.6%","±0.7"
"        Production, transportation, and material moving occupations","1,543,113","±20,969","12.2%","±0.2","70,290","±5,225","10.5%","±0.8"
"INDUSTRY","","","","","","","",""
"    Civilian employed population 16 years and over","12,693,901","±33,476","12,693,901","(X)","670,584","±8,954","670,584","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","434,422","±10,363","3.4%","±0.1","8,255","±1,733","1.2%","±0.3"
"        Construction","1,032,811","±22,228","8.1%","±0.2","53,728","±4,854","8.0%","±0.7"
"        Manufacturing","1,102,394","±18,359","8.7%","±0.1","39,922","±3,763","6.0%","±0.6"
"        Wholesale trade","385,618","±13,238","3.0%","±0.1","18,173","±2,674","2.7%","±0.4"
"        Retail trade","1,483,751","±20,483","11.7%","±0.2","81,259","±5,885","12.1%","±0.9"
"        Transportation and warehousing, and utilities","727,529","±14,637","5.7%","±0.1","29,880","±3,211","4.5%","±0.5"
"        Information","228,993","±10,335","1.8%","±0.1","12,325","±2,294","1.8%","±0.3"
"        Finance and insurance, and real estate and rental and leasing","831,946","±14,843","6.6%","±0.1","56,811","±4,081","8.5%","±0.6"
"        Professional, scientific, and management, and administrative and waste management services","1,444,739","±24,199","11.4%","±0.2","76,220","±4,741","11.4%","±0.7"
"        Educational services, and health care and social assistance","2,692,663","±26,518","21.2%","±0.2","148,664","±6,774","22.2%","±1.0"
"        Arts, entertainment, and recreation, and accommodation and food services","1,158,080","±20,905","9.1%","±0.2","81,573","±6,488","12.2%","±1.0"
"        Other services, except public administration","654,384","±14,333","5.2%","±0.1","33,957","±4,362","5.1%","±0.6"
"        Public administration","516,571","±12,569","4.1%","±0.1","29,817","±3,754","4.4%","±0.6"
"CLASS OF WORKER","","","","","","","",""
"    Civilian employed population 16 years and over","12,693,901","±33,476","12,693,901","(X)","670,584","±8,954","670,584","(X)"
"        Private wage and salary workers","10,210,704","±40,062","80.4%","±0.2","551,604","±10,414","82.3%","±0.9"
"        Government workers","1,640,352","±24,932","12.9%","±0.2","85,505","±5,490","12.8%","±0.8"
"        Self-employed in own not incorporated business workers","823,545","±16,754","6.5%","±0.1","33,281","±3,068","5.0%","±0.5"
"        Unpaid family workers","19,300","±2,688","0.2%","±0.1","194","±147","0.0%","±0.1"
"INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Total households","9,421,412","±21,122","9,421,412","(X)","494,344","±5,301","494,344","(X)"
"        Less than $10,000","621,647","±11,139","6.6%","±0.1","39,699","±3,606","8.0%","±0.7"
"        $10,000 to $14,999","438,819","±11,770","4.7%","±0.1","25,867","±2,889","5.2%","±0.6"
"        $15,000 to $24,999","971,742","±18,346","10.3%","±0.2","57,925","±3,617","11.7%","±0.7"
"        $25,000 to $34,999","949,768","±12,848","10.1%","±0.1","56,812","±4,043","11.5%","±0.8"
"        $35,000 to $49,999","1,272,092","±19,469","13.5%","±0.2","71,979","±5,567","14.6%","±1.1"
"        $50,000 to $74,999","1,693,599","±20,391","18.0%","±0.2","95,179","±4,863","19.3%","±1.0"
"        $75,000 to $99,999","1,127,402","±16,874","12.0%","±0.2","56,489","±3,712","11.4%","±0.8"
"        $100,000 to $149,999","1,273,201","±16,419","13.5%","±0.2","57,135","±4,130","11.6%","±0.8"
"        $150,000 to $199,999","510,402","±11,888","5.4%","±0.1","17,053","±1,878","3.4%","±0.4"
"        $200,000 or more","562,740","±10,953","6.0%","±0.1","16,206","±1,871","3.3%","±0.4"
"        Median household income (dollars)","55,653","±314","(X)","(X)","48,869","±1,323","(X)","(X)"
"        Mean household income (dollars)","78,862","±449","(X)","(X)","65,224","±1,761","(X)","(X)"
"    With earnings","7,770,304","±24,198","82.5%","±0.1","396,670","±5,419","80.2%","±0.6"
"        Mean earnings (dollars)","79,354","±482","(X)","(X)","64,705","±1,709","(X)","(X)"
"    With Social Security","2,383,077","±14,509","25.3%","±0.1","136,462","±3,995","27.6%","±0.7"
"        Mean Social Security income (dollars)","17,555","±106","(X)","(X)","15,575","±408","(X)","(X)"
"    With retirement income","1,385,864","±17,680","14.7%","±0.2","79,297","±3,518","16.0%","±0.7"
"        Mean retirement income (dollars)","24,231","±405","(X)","(X)","26,466","±2,101","(X)","(X)"
"    With Supplemental Security Income","464,249","±11,844","4.9%","±0.1","34,250","±2,611","6.9%","±0.5"
"        Mean Supplemental Security Income (dollars)","8,920","±121","(X)","(X)","9,115","±477","(X)","(X)"
"    With cash public assistance income","132,637","±6,198","1.4%","±0.1","8,100","±1,073","1.6%","±0.2"
"        Mean cash public assistance income (dollars)","2,857","±167","(X)","(X)","2,629","±509","(X)","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","1,176,485","±15,803","12.5%","±0.2","74,482","±4,372","15.1%","±0.9"
"    Families","6,520,909","±27,610","6,520,909","(X)","319,811","±6,278","319,811","(X)"
"        Less than $10,000","293,174","±9,221","4.5%","±0.1","18,441","±2,407","5.8%","±0.7"
"        $10,000 to $14,999","202,180","±8,631","3.1%","±0.1","12,002","±1,943","3.8%","±0.6"
