"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","21,368,307","±10,314","21,368,307","(X)","1,155,359","±5,009","1,155,359","(X)"
"        In labor force","13,777,044","±36,791","64.5%","±0.2","741,629","±11,478","64.2%","±1.0"
"            Civilian labor force","13,687,703","±37,125","64.1%","±0.2","734,747","±11,299","63.6%","±0.9"
"                Employed","12,927,456","±38,862","60.5%","±0.2","690,390","±11,762","59.8%","±1.0"
"                Unemployed","760,247","±15,892","3.6%","±0.1","44,357","±4,033","3.8%","±0.4"
"            Armed Forces","89,341","±4,678","0.4%","±0.1","6,882","±1,354","0.6%","±0.1"
"        Not in labor force","7,591,263","±40,635","35.5%","±0.2","413,730","±11,172","35.8%","±1.0"
"    Civilian labor force","13,687,703","±37,125","13,687,703","(X)","734,747","±11,299","734,747","(X)"
"        Unemployment Rate","(X)","(X)","5.6%","±0.1","(X)","(X)","6.0%","±0.6"
"    Females 16 years and over","10,855,751","±8,542","10,855,751","(X)","591,571","±3,825","591,571","(X)"
"        In labor force","6,275,390","±28,398","57.8%","±0.3","344,776","±7,602","58.3%","±1.2"
"            Civilian labor force","6,261,448","±28,204","57.7%","±0.3","342,999","±7,436","58.0%","±1.2"
"                Employed","5,914,342","±27,381","54.5%","±0.3","321,455","±7,247","54.3%","±1.2"
"    Own children of the householder under 6 years","2,313,331","±13,565","2,313,331","(X)","122,691","±3,728","122,691","(X)"
"        All parents in family in labor force","1,388,588","±21,754","60.0%","±0.9","73,970","±4,917","60.3%","±3.8"
"    Own children of the householder 6 to 17 years","4,635,161","±18,123","4,635,161","(X)","237,911","±5,457","237,911","(X)"
"        All parents in family in labor force","3,127,826","±28,684","67.5%","±0.6","166,981","±7,868","70.2%","±2.6"
"COMMUTING TO WORK","","","","","","","",""
"    Workers 16 years and over","12,783,032","±40,131","12,783,032","(X)","686,349","±11,834","686,349","(X)"
"        Car, truck, or van -- drove alone","10,294,898","±39,514","80.5%","±0.2","533,926","±13,772","77.8%","±1.2"
"        Car, truck, or van -- carpooled","1,289,249","±23,464","10.1%","±0.2","79,683","±6,210","11.6%","±0.9"
"        Public transportation (excluding taxicab)","183,385","±7,394","1.4%","±0.1","22,695","±2,859","3.3%","±0.4"
