"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","19,455,689","±11,306","19,455,689","(X)","1,041,209","±6,477","1,041,209","(X)"
"    In labor force","12,619,599","±42,974","64.9%","±0.2","663,972","±8,421","63.8%","±0.8"
"        Civilian labor force","12,520,343","±44,522","64.4%","±0.2","653,826","±8,185","62.8%","±0.8"
"            Employed","11,455,069","±46,771","58.9%","±0.2","594,072","±9,237","57.1%","±0.9"
"            Unemployed","1,065,274","±23,077","5.5%","±0.1","59,754","±5,143","5.7%","±0.5"
"        Armed Forces","99,256","±4,616","0.5%","±0.1","10,146","±1,981","1.0%","±0.2"
"    Not in labor force","6,836,090","±43,185","35.1%","±0.2","377,237","±9,704","36.2%","±0.8"
"    Civilian labor force","12,520,343","±44,522","12,520,343","(X)","653,826","±8,185","653,826","(X)"
"    Percent Unemployed","(X)","(X)","8.5%","±0.2","(X)","(X)","9.1%","±0.8"
"    Females 16 years and over","9,885,626","±8,987","9,885,626","(X)","542,284","±4,802","542,284","(X)"
"    In labor force","5,737,729","±28,556","58.0%","±0.3","314,358","±7,603","58.0%","±1.3"
"        Civilian labor force","5,723,271","±28,860","57.9%","±0.3","311,498","±7,568","57.4%","±1.3"
"            Employed","5,234,690","±29,330","53.0%","±0.3","283,065","±7,908","52.2%","±1.4"
"    Own children under 6 years","2,268,756","±13,925","2,268,756","(X)","118,704","±4,727","118,704","(X)"
"    All parents in family in labor force","1,323,822","±18,476","58.4%","±0.8","73,236","±5,451","61.7%","±3.6"
"    Own children 6 to 17 years","4,362,096","±16,988","4,362,096","(X)","221,911","±6,176","221,911","(X)"
"    All parents in family in labor force","2,936,672","±30,094","67.3%","±0.7","155,504","±8,127","70.1%","±2.9"
"COMMUTING TO WORK","","","","","","","",""
"    Workers 16 years and over","11,336,474","±45,960","11,336,474","(X)","593,480","±9,336","593,480","(X)"
"    Car, truck, or van -- drove alone","9,045,425","±43,621","79.8%","±0.3","471,099","±10,473","79.4%","±1.2"
"    Car, truck, or van -- carpooled","1,252,849","±26,327","11.1%","±0.2","63,445","±5,258","10.7%","±0.9"
"    Public transportation (excluding taxicab)","176,090","±8,971","1.6%","±0.1","19,339","±2,475","3.3%","±0.4"
"    Walked","191,128","±7,589","1.7%","±0.1","12,619","±2,085","2.1%","±0.4"
"    Other means","196,031","±10,822","1.7%","±0.1","8,191","±1,586","1.4%","±0.3"
"    Worked at home","474,951","±16,361","4.2%","±0.1","18,787","±2,904","3.2%","±0.5"
"    Mean travel time to work (minutes)","24.8","±0.1","(X)","(X)","23.4","±0.5","(X)","(X)"
"OCCUPATION","","","","","","","",""
"    Civilian employed population 16 years and over","11,455,069","±46,771","11,455,069","(X)","594,072","±9,237","594,072","(X)"
"    Management, business, science, and arts occupations","3,980,319","±35,839","34.7%","±0.3","201,982","±7,739","34.0%","±1.3"
"    Service occupations","2,043,166","±27,746","17.8%","±0.2","118,428","±6,284","19.9%","±1.0"
"    Sales and office occupations","2,831,482","±34,833","24.7%","±0.3","157,197","±7,791","26.5%","±1.2"
"    Natural resources, construction, and maintenance occupations","1,248,580","±19,474","10.9%","±0.2","57,012","±4,867","9.6%","±0.8"
"    Production, transportation, and material moving occupations","1,351,522","±22,231","11.8%","±0.2","59,453","±4,719","10.0%","±0.8"
"INDUSTRY","","","","","","","",""
"    Civilian employed population 16 years and over","11,455,069","±46,771","11,455,069","(X)","594,072","±9,237","594,072","(X)"
"    Agriculture, forestry, fishing and hunting, and mining","335,301","±10,490","2.9%","±0.1","3,586","±1,318","0.6%","±0.2"
"    Construction","867,044","±18,598","7.6%","±0.2","44,695","±4,132","7.5%","±0.7"
"    Manufacturing","1,082,680","±18,191","9.5%","±0.2","35,997","±4,095","6.1%","±0.7"
"    Wholesale trade","341,663","±11,553","3.0%","±0.1","14,536","±2,250","2.4%","±0.4"
"    Retail trade","1,340,729","±21,089","11.7%","±0.2","72,245","±5,577","12.2%","±0.9"
"    Transportation and warehousing, and utilities","630,271","±14,789","5.5%","±0.1","25,019","±3,333","4.2%","±0.5"
"    Information","203,933","±9,946","1.8%","±0.1","9,878","±1,811","1.7%","±0.3"
"    Finance and insurance, and real estate and rental and leasing","747,519","±17,149","6.5%","±0.2","52,945","±4,748","8.9%","±0.8"
"    Professional, scientific, and management, and administrative and waste management services","1,222,127","±21,613","10.7%","±0.2","61,263","±5,009","10.3%","±0.8"
"    Educational services, and health care and social assistance","2,524,104","±35,321","22.0%","±0.3","141,008","±7,140","23.7%","±1.2"
"    Arts, entertainment, and recreation, and accommodation and food services","996,044","±21,390","8.7%","±0.2","67,224","±5,431","11.3%","±0.9"
"    Other services, except public administration","646,553","±18,699","5.6%","±0.2","34,380","±3,780","5.8%","±0.6"
"    Public administration","517,101","±17,111","4.5%","±0.1","31,296","±3,574","5.3%","±0.6"
"CLASS OF WORKER","","","","","","","",""
"    Civilian employed population 16 years and over","11,455,069","±46,771","11,455,069","(X)","594,072","±9,237","594,072","(X)"
"    Private wage and salary workers","8,974,528","±44,498","78.3%","±0.3","463,525","±10,387","78.0%","±1.1"
"    Government workers","1,690,732","±27,001","14.8%","±0.2","98,288","±5,029","16.5%","±0.8"
"    Self-employed in own not incorporated business workers","773,817","±18,533","6.8%","±0.2","32,060","±3,344","5.4%","±0.6"
"    Unpaid family workers","15,992","±2,354","0.1%","±0.1","199","±169","0.0%","±0.1"
"INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Total households","8,850,370","±21,114","8,850,370","(X)","482,783","±6,226","482,783","(X)"
"    Less than $10,000","707,895","±14,946","8.0%","±0.2","45,297","±4,723","9.4%","±0.9"
"    $10,000 to $14,999","511,139","±12,639","5.8%","±0.1","29,308","±2,713","6.1%","±0.6"
"    $15,000 to $24,999","1,038,328","±19,379","11.7%","±0.2","65,850","±4,802","13.6%","±0.9"
"    $25,000 to $34,999","962,087","±17,228","10.9%","±0.2","59,432","±3,928","12.3%","±0.8"
"    $35,000 to $49,999","1,247,252","±19,924","14.1%","±0.2","74,909","±4,860","15.5%","±1.0"
"    $50,000 to $74,999","1,574,049","±23,238","17.8%","±0.3","88,905","±4,977","18.4%","±1.1"
"    $75,000 to $99,999","1,001,080","±18,272","11.3%","±0.2","48,358","±3,915","10.0%","±0.8"
"    $100,000 to $149,999","1,054,481","±16,083","11.9%","±0.2","44,932","±3,002","9.3%","±0.6"
"    $150,000 to $199,999","379,364","±10,556","4.3%","±0.1","14,696","±2,574","3.0%","±0.5"
"    $200,000 or more","374,695","±11,420","4.2%","±0.1","11,096","±1,622","2.3%","±0.3"
"    Median household income (dollars)","49,392","±391","(X)","(X)","42,613","±1,304","(X)","(X)"
"    Mean household income (dollars)","68,936","±452","(X)","(X)","57,374","±1,382","(X)","(X)"
"    With earnings","7,290,031","±24,889","82.4%","±0.2","391,456","±6,149","81.1%","±0.8"
"        Mean earnings (dollars)","69,577","±511","(X)","(X)","57,047","±1,596","(X)","(X)"
"    With Social Security","2,158,725","±15,961","24.4%","±0.2","123,669","±4,357","25.6%","±0.9"
"        Mean Social Security income (dollars)","15,798","±94","(X)","(X)","13,945","±374","(X)","(X)"
"    With retirement income","1,215,265","±15,688","13.7%","±0.2","81,729","±4,612","16.9%","±0.9"
"        Mean retirement income (dollars)","22,420","±437","(X)","(X)","23,674","±1,397","(X)","(X)"
"    With Supplemental Security Income","422,131","±11,359","4.8%","±0.1","34,481","±3,113","7.1%","±0.6"
"        Mean Supplemental Security Income (dollars)","8,460","±142","(X)","(X)","7,928","±335","(X)","(X)"
"    With cash public assistance income","167,272","±6,103","1.9%","±0.1","12,464","±1,788","2.6%","±0.4"
"        Mean cash public assistance income (dollars)","3,418","±135","(X)","(X)","3,031","±524","(X)","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","1,205,123","±16,422","13.6%","±0.2","80,908","±4,652","16.8%","±0.9"
"    Families","6,171,317","±25,795","6,171,317","(X)","313,820","±6,157","313,820","(X)"
"    Less than $10,000","350,542","±10,312","5.7%","±0.2","19,742","±2,762","6.3%","±0.9"
"    $10,000 to $14,999","242,604","±9,721","3.9%","±0.2","13,421","±1,960","4.3%","±0.6"
"    $15,000 to $24,999","616,717","±12,858","10.0%","±0.2","34,719","±3,204","11.1%","±1.0"
"    $25,000 to $34,999","635,179","±15,441","10.3%","±0.2","38,707","±3,269","12.3%","±1.0"
"    $35,000 to $49,999","830,074","±16,023","13.5%","±0.3","49,224","±3,532","15.7%","±1.1"
"    $50,000 to $74,999","1,141,974","±19,230","18.5%","±0.3","61,891","±4,491","19.7%","±1.4"
"    $75,000 to $99,999","797,606","±17,055","12.9%","±0.3","35,550","±3,428","11.3%","±1.1"
"    $100,000 to $149,999","893,756","±17,278","14.5%","±0.3","37,669","±2,775","12.0%","±0.9"
"    $150,000 to $199,999","332,119","±9,523","5.4%","±0.2","13,280","±2,413","4.2%","±0.8"
"    $200,000 or more","330,746","±10,289","5.4%","±0.2","9,617","±1,510","3.1%","±0.5"
"    Median family income (dollars)","58,016","±575","(X)","(X)","50,283","±1,331","(X)","(X)"
"    Mean family income (dollars)","78,360","±569","(X)","(X)","66,197","±1,799","(X)","(X)"
"    Per capita income (dollars)","24,682","±148","(X)","(X)","21,356","±527","(X)","(X)"
"    Nonfamily households","2,679,053","±22,786","2,679,053","(X)","168,963","±6,120","168,963","(X)"
"    Median nonfamily income (dollars)","31,134","±368","(X)","(X)","27,436","±1,766","(X)","(X)"
"    Mean nonfamily income (dollars)","44,390","±627","(X)","(X)","38,349","±2,113","(X)","(X)"
"    Median earnings for workers (dollars)","28,015","±258","(X)","(X)","24,821","±683","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","43,160","±600","(X)","(X)","37,067","±1,516","(X)","(X)"
